ID,school_name,city,ccaa,phone,email,titularidad,tipo_centro,ciclos_est,website,instagram,S1_tipo,S2_ciclos,S3_size,S4_digital,S5_email,S6_independiente,total_score,tier,call_status,call_date,attempts,notes,signal_rating,next_step
M001,ARCO IRIS ABASTOS,Aranjuez,Madrid,918911553,escuelainfantil.arcoiris.abastos@hotmail.com,PRIVADO,EIPR,0-3,,,2,2,1,0,1,1,7,B,pendiente,,0,,,
M002,SAN PEDRO APOSTOL,Alcobendas,Madrid,916535721,cc.sanpedroapostol.alcobendas@educa.madrid.org,PRIVADO CONCERTADO,EIPR,0-3,,, 2,2,1,0,1,0,6,B,pendiente,,0,,,
M003,MAMA JUANITA,Coslada,Madrid,916711120,DIRECCION@MAMAJUANITA.COM,PRIVADO CONCERTADO,CPR INF,0-6,http://www.mamajuanita.com,,1,1,2,2,1,0,7,B,pendiente,,0,,,
M004,VIRGEN DEL PUERTO,Aranjuez,Madrid,918910717,vdp@colegiovirgendelpuerto.com,PRIVADO,CPR INF,0-6,,,1,1,1,0,1,1,5,C,pendiente,,0,,,
M005,SANTO TOMAS DE AQUINO,Alcalá de Henares,Madrid,918842017,,PRIVADO,CPR INF,0-6,,,1,1,1,0,0,1,4,C,pendiente,,0,,,
M006,CIES,Alcobendas,Madrid,916528991,,PRIVADO,CPR INF,0-6,,,1,1,1,0,0,1,4,C,pendiente,,0,,,
M007,MARY WARD,Alcobendas,Madrid,916501500,secretaria.elsoto@feducativamaryward.org,PRIVADO,CPR INF,0-6,http://www.irlandesaselsoto.net,,1,1,1,1,1,0,5,C,pendiente,,0,,,
M008,SAN FRANCISCO DE ASIS,Alcalá de Henares,Madrid,918880031,cc.sanfranciscodeasis.alcala@educa.madrid.org,PRIVADO,CPR INF-PRI,0-6,http://www.sanfranciscodeasisalcala.com,,1,1,1,2,1,1,7,B,pendiente,,0,,,
M009,MINERVA,Alcalá de Henares,Madrid,918881362,cc.minerva.alcala@educa.madrid.org,PRIVADO,CPR INF-PRI-SEC,0-18,http://www.educa.madrid.org/cc.minerva.alcala,,0,0,0,1,1,1,3,D,pendiente,,0,Escuela grande INF+PRI+SEC no prioritaria,,
M010,LICEO EUROPEO,Alcobendas,Madrid,916500000,patricia.real@liceo-europeo.edu.es,PRIVADO,CPR PRI-SEC,6-18,http://www.liceo-europeo.es,,0,0,0,2,1,0,3,D,pendiente,,0,Sin infantil,,
M011,SAGRADA FAMILIA,Aranjuez,Madrid,918910419,cc.sagradafamilia.aranjuez@educa.madrid.org,PRIVADO CONCERTADO,CPR INF-PRI-SEC,0-18,http://www.aranjuez.fesd.es,,0,0,1,1,1,0,3,D,pendiente,,0,Escuela grande no prioritaria,,
M012,SAN FRANCISCO DE ASIS,Alcobendas,Madrid,916521721,,PRIVADO,CPR INF-PRI,0-6,,,1,1,1,0,0,1,4,C,pendiente,,0,,,
M013,NTRA. SRA. DE LA ALMUDENA,Alcobendas,Madrid,916621357,,PRIVADO,CPR INF-PRI,0-6,,,1,1,1,0,0,1,4,C,pendiente,,0,,,
M014,ISABEL ROSILLO-SANTO ANGEL,Alcobendas,Madrid,916538051,,PRIVADO,CPR INF-PRI,0-6,,,1,1,1,0,0,1,4,C,pendiente,,0,,,
